isic_code,isic_description,section_code,section_description,division_code,division_description,group_code,group_description,class_code,class_description,primary_method_1,primary_method_2,supporting_method_1,supporting_method_2,sensitivity_method,valuation_rationale,us_stocks,br_stocks
4630,"Wholesale of food, beverages and tobacco",,,46,Wholesale trade,463,"Wholesale of food, beverages and tobacco",4630,"Wholesale of food, beverages and tobacco",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","SYY,USFD,PFGC","ASAI3,CRFB3,PCAR3"
4641,"Wholesale of textiles, clothing and footwear",,,46,Wholesale trade,464,Wholesale of household goods,4641,"Wholesale of textiles, clothing and footwear",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","VFC,PVH,CPRI","LREN3,CEAB3,GUAR3"
4642,"Wholesale of household, office and shop furniture, carpets and lighting equipment",,,46,Wholesale trade,464,Wholesale of household goods,4642,"Wholesale of household, office and shop furniture, carpets and lighting equipment",DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","LZB,ETH,HNI","LAVV3,EZTC3,TEND3"
4649,Wholesale of other household goods,,,46,Wholesale trade,464,Wholesale of household goods,4649,Wholesale of other household goods,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","WBA,CVS,RAD","LREN3,MGLU3,AMAR3"
4651,"Wholesale of computers, computer peripheral equipment and software",,,46,Wholesale trade,465,"Wholesale of machinery, equipment and supplies",4651,"Wholesale of computers, computer peripheral equipment and software",CCA,DCF / rDCF,Rule of 40,PTA,Real Options,"Technology companies are often valued by market multiples (CCA) and future cash flows (DCF). Rule of 40 and PTA provide growth and profitability insights, with Real Options for innovation potential.","CDW,SNX,NSIT","VIVT3,TIMS3,FIQE3"
4652,Wholesale of electronic and telecommunications equipment and parts,,,46,Wholesale trade,465,"Wholesale of machinery, equipment and supplies",4652,Wholesale of electronic and telecommunications equipment and parts,DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","AVT,ARW,MSM","POSI3,INTB3,WEGE3"
4653,"Wholesale of agricultural machinery, equipment and supplies",,,46,Wholesale trade,465,"Wholesale of machinery, equipment and supplies",4653,"Wholesale of agricultural machinery, equipment and supplies",DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","TITN,AGCO,LINX","SLCE3,AGRO3,SOJA3"
4659,Wholesale of other machinery and equipment,,,46,Wholesale trade,465,"Wholesale of machinery, equipment and supplies",4659,Wholesale of other machinery and equipment,DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","GWW,FAST,MSC","ROMI3,TUPY3,KEPL3"
4661,Wholesale of motor vehicles,,,46,Wholesale trade,466,"Wholesale of motor vehicles, motorcycles and related parts and accessories",4661,Wholesale of motor vehicles,DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","KMX,AN,ABG","VVBA4,HYPE3,MYPK3"
4662,Wholesale of motor vehicle parts and accessories,,,46,Wholesale trade,466,"Wholesale of motor vehicles, motorcycles and related parts and accessories",4662,Wholesale of motor vehicle parts and accessories,DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","AZO,ORLY,GPC","RAPT4,RSUL4,POMO4"
4663,"Wholesale of motorcycles, motorcycle parts and accessories",,,46,Wholesale trade,466,"Wholesale of motor vehicles, motorcycles and related parts and accessories",4663,"Wholesale of motorcycles, motorcycle parts and accessories",DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","HOG,FOXF,LCII","MYPK3,LEVE3,TUPY3"
4671,"Wholesale of solid, liquid and gaseous fuels and related products",,,46,Wholesale trade,467,Other specialized wholesale,4671,"Wholesale of solid, liquid and gaseous fuels and related products",DCF / rDCF,DDM,CCA,Graham Number,Replacement Value,"Regulated utilities have stable cash flows, making DCF and DDM suitable. CCA and Graham Number provide market and intrinsic value checks, with Replacement Value for asset-heavy operations.","MPC,PSX,VLO","VBBR3,CSAN3,UGPA3"
4672,Wholesale of metals and metal ores,,,46,Wholesale trade,467,Other specialized wholesale,4672,Wholesale of metals and metal ores,DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","RS,STLD,NUE","VALE3,GGBR4,CSNA3"
4673,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,,46,Wholesale trade,467,Other specialized wholesale,4673,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","FAST,WCC,MSM","TUPY3,FRAS3,POMO4"
4679,"Wholesale of chemicals, waste and scrap and other products n.e.c.",,,46,Wholesale trade,467,Other specialized wholesale,4679,"Wholesale of chemicals, waste and scrap and other products n.e.c.",DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","LIN,SHW,APD","UNIP6,BRKM5,BRKM3"
4690,Non-specialized wholesale trade,,,46,Wholesale trade,469,Non-specialized wholesale trade,4690,Non-specialized wholesale trade,DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","GPC,LKQ,ORLY","LREN3,ASAI3,GMAT3"
4711,"Non-specialized retail sale with food, beverages or tobacco predominating",,,47,Retail trade,471,Non-specialized retail sale,4711,"Non-specialized retail sale with food, beverages or tobacco predominating",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","WMT,TGT,KR","ASAI3,CRFB3,PCAR3"
4719,Other non-specialized retail sale,,,47,Retail trade,471,Non-specialized retail sale,4719,Other non-specialized retail sale,CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","WMT,TGT,COST","MGLU3,AMER3,LREN3"
4721,Retail sale of food,,,47,Retail trade,472,"Retail sale of food, beverages and tobacco",4721,Retail sale of food,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","KR,SFM,WFM","ASAI3,CRFB3,PCAR3"
4722,Retail sale of beverages,,,47,Retail trade,472,"Retail sale of food, beverages and tobacco",4722,Retail sale of beverages,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","KO,MNST,PEP","ABEV3,CRFB3,JBSS3"
4723,Retail sale of tobacco products,,,47,Retail trade,472,"Retail sale of food, beverages and tobacco",4723,Retail sale of tobacco products,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","MO,PM,BTI","PHMO34,B1TI34,MOOO34"
4730,Retail sale of automotive fuel,,,47,Retail trade,473,Retail sale of automotive fuel,4730,Retail sale of automotive fuel,CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","MPC,VLO,PSX","UGPA3,VBBR3,RAIZ4"
4740,Retail sale of information and communication equipment,,,47,Retail trade,474,Retail sale of information and communication equipment,4740,Retail sale of information and communication equipment,CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","BBY,WMT,TSCO","LREN3,CEAB3,ARZZ3"
4751,Retail sale of textiles,,,47,Retail trade,475,Retail sale of other household equipment,4751,Retail sale of textiles,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","TJX,ROST,BURL","LREN3,CEAB3,GUAR3"
4752,"Retail sale of hardware, building materials, paints and glass",,,47,Retail trade,475,Retail sale of other household equipment,4752,"Retail sale of hardware, building materials, paints and glass",CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","HD,LOW,TSCO","HGTX3,CEAB3,ARZZ3"
4753,"Retail sale of carpets, rugs, wall and floor coverings",,,47,Retail trade,475,Retail sale of other household equipment,4753,"Retail sale of carpets, rugs, wall and floor coverings",CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","WSC,MHK,LL","GUAR3,LREN3,AMAR3"
4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles",,,47,Retail trade,475,Retail sale of other household equipment,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles",CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","BBY,WSH,WSM","LREN3,MGLU3,BHIA3"
4761,"Retail sale of books, newspapers, stationery and office supplies",,,47,Retail trade,476,Retail sale of cultural and recreational goods,4761,"Retail sale of books, newspapers, stationery and office supplies",CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","BBY,ODP,BKSY","LREN3,CEAB3,GUAR3"
4762,Retail sale of sporting equipment,,,47,Retail trade,476,Retail sale of cultural and recreational goods,4762,Retail sale of sporting equipment,CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","DKS,BGFV,ASO","CNTO3,ALPA4,VIVA3"
4763,Retail sale of games and toys,,,47,Retail trade,476,Retail sale of cultural and recreational goods,4763,Retail sale of games and toys,CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","HAS,MAT,JAKK","BHIA3,AMER3,MGLU3"
4769,Retail sale of cultural and recreational goods n.e.c.,,,47,Retail trade,476,Retail sale of cultural and recreational goods,4769,Retail sale of cultural and recreational goods n.e.c.,CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","MAT,HAS,GME","AMER3,LREN3,ARZZ3"
4771,"Retail sale of clothing, footwear and leather articles",,,47,Retail trade,477,"Retail sale of other goods, except motor vehicles and motorcycles",4771,"Retail sale of clothing, footwear and leather articles",CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","TJX,ROST,BURL","LREN3,CEAB3,GUAR3"
4772,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles",,,47,Retail trade,477,"Retail sale of other goods, except motor vehicles and motorcycles",4772,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles",CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","CVS,WBA,RAD","RADL3,PGMN3,PFRM3"
4773,Retail sale of other new goods n.e.c.,,,47,Retail trade,477,"Retail sale of other goods, except motor vehicles and motorcycles",4773,Retail sale of other new goods n.e.c.,CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","FLWS,DKS,CHWY","LREN3,ARZZ3,CEAB3"
4774,Retail sale of second-hand goods,,,47,Retail trade,477,"Retail sale of other goods, except motor vehicles and motorcycles",4774,Retail sale of second-hand goods,CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","EBAY,REAL,POSH","LREN3,CEAB3,AMAR3"
4781,Retail sale of motor vehicles,,,47,Retail trade,478,"Retail sale of motor vehicles, motorcycles and related parts and accessories",4781,Retail sale of motor vehicles,CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","KMX,AN,ABG","RENT3,MOVI3,VAMO3"
4782,Retail sale of motor vehicle parts and accessories,,,47,Retail trade,478,"Retail sale of motor vehicles, motorcycles and related parts and accessories",4782,Retail sale of motor vehicle parts and accessories,CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","AZO,ORLY,AAP","MYPK3,MYPK4,LEVE3"
4783,"Retail sale of motorcycles, motorcycles parts and accessories",,,47,Retail trade,478,"Retail sale of motor vehicles, motorcycles and related parts and accessories",4783,"Retail sale of motorcycles, motorcycles parts and accessories",CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","HOG,RUM,CVNA","CRFB3,ASAI3,PCAR3"
4790,Intermediation service activities for retail sale,,,47,Retail trade,479,Intermediation service activities for retail sale,4790,Intermediation service activities for retail sale,CCA,DCF / rDCF,PTA,SOTP,Graham Number,"Retail is highly comparable, favoring CCA and DCF. PTA and SOTP are useful for diversified retail, with Graham Number for intrinsic value assessment.","AMZN,EBAY,ETSY","MGLU3,LREN3,AMER3"
4911,"Passenger rail transport, interurban",,,49,Land transport and transport via pipelines,491,Transport via railways,4911,"Passenger rail transport, interurban",DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","UNP,NSC,CSX","RAIL3,VLID3,STBP3"
4912,Freight rail transport,,,49,Land transport and transport via pipelines,491,Transport via railways,4912,Freight rail transport,DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","UNP,NSC,CSX","RAIL3,SIMH3,VAMO3"
4921,Urban and suburban passenger land transport,,,49,Land transport and transport via pipelines,492,Other land transport,4921,Urban and suburban passenger land transport,DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","UBER,LYFT,DASH","RAIL3,TGMA3,JSLG3"
4922,Other passenger land transport,,,49,Land transport and transport via pipelines,492,Other land transport,4922,Other passenger land transport,DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","JBLU,ALGT,SAVE","TGMA3,JSLG3,SIMH3"
4923,Freight transport by road,,,49,Land transport and transport via pipelines,492,Other land transport,4923,Freight transport by road,DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","JBHT,LSTR,SAIA","JSLG3,TGMA3,LOGN3"
4930,Transport via pipeline,,,49,Land transport and transport via pipelines,493,Transport via pipeline,4930,Transport via pipeline,DCF / rDCF,CCA,PTA,Replacement Value,Graham Number,"Industrials benefit from DCF for cash flow projection and CCA for market comparison. PTA and Replacement Value are useful for asset-heavy industries, with Graham Number for intrinsic value assessment.","EPD,ET,MPLX","RAIL3,CCRO3,TPIS3"
5011,Sea and coastal passenger water transport,,,50,Water transport,501,Sea and coastal water transport,5011,Sea and coastal passenger water transport,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","CCL,RCL,NCLH","LOGN3,STBP3,PORT3"
5012,Sea and coastal freight water transport,,,50,Water transport,501,Sea and coastal water transport,5012,Sea and coastal freight water transport,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","MATX,OSG,KEX","LOGN3,PORT3,STBP3"
5021,Inland passenger water transport,,,50,Water transport,502,Inland water transport,5021,Inland passenger water transport,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","VIK,LIND,KEX","LOGN3,PORT3,STBP3"
5022,Inland freight water transport,,,50,Water transport,502,Inland water transport,5022,Inland freight water transport,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","KIRB,MATX,ALCO","LOGN3,STBP3,PORT3"
5110,Passenger air transport,,,51,Air transport,511,Passenger air transport,5110,Passenger air transport,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","DAL,UAL,AAL","AZUL4,GOLL4,LATM3"
5120,Freight air transport,,,51,Air transport,512,Freight air transport,5120,Freight air transport,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","FDX,UPS,ATSG","AZUL4,LOGN3,STBP3"
5210,Warehousing and storage,,,52,Warehousing and support activities for transportation,521,Warehousing and storage,5210,Warehousing and storage,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","PSA,EXR,CUBE","LOGN3,STBP3,PORT3"
5221,Service activities incidental to land transportation,,,52,Warehousing and support activities for transportation,522,Support activities for transportation,5221,Service activities incidental to land transportation,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","UNP,NSC,CSX","JSLG3,ECOR3,STBP3"
5222,Service activities incidental to water transportation,,,52,Warehousing and support activities for transportation,522,Support activities for transportation,5222,Service activities incidental to water transportation,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","KEX,MATX,TRTN","STBP3,LOGN3,RAIL3"
5223,Service activities incidental to air transportation,,,52,Warehousing and support activities for transportation,522,Support activities for transportation,5223,Service activities incidental to air transportation,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","AAL,DAL,UAL","AZUL4,GOLL4,TOTS3"
5224,Cargo handling,,,52,Warehousing and support activities for transportation,522,Support activities for transportation,5224,Cargo handling,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","GXO,HUBG,STG","STBP3,LOGN3,PORT3"
5229,Other support activities for transportation,,,52,Warehousing and support activities for transportation,522,Support activities for transportation,5229,Other support activities for transportation,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","CHRW,EXPD,HUBG","SIMH3,JSLG3,STBP3"
5231,Intermediation service activities for freight transportation,,,52,Warehousing and support activities for transportation,523,Intermediation service activities for transportation,5231,Intermediation service activities for freight transportation,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","CHRW,EXPD,GXO","JSLG3,SIMH3,TGMA3"
5232,Intermediation service activities for passenger transportation,,,52,Warehousing and support activities for transportation,523,Intermediation service activities for transportation,5232,Intermediation service activities for passenger transportation,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","BKNG,EXPE,TRIP","CVCB3,GOLL4,AZUL4"
5310,Postal activities,,,53,Postal and courier activities,531,Postal activities,5310,Postal activities,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","UPS,FDX,EXPD","LOGG3,LOGN3,TGMA3"
5320,Courier activities,,,53,Postal and courier activities,532,Courier activities,5320,Courier activities,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","FDX,UPS,EXPD","JSLG3,LOGN3,TGMA3"
5330,Intermediation service activities for postal and courier activities,,,53,Postal and courier activities,533,Intermediation service activities for postal and courier activities,5330,Intermediation service activities for postal and courier activities,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","CHRW,RXO,ECHO","AZUL4,ECOR3,STBP3"
5510,Hotels and similar accommodation activities,,,55,Accommodation,551,Hotels and similar accommodation activities,5510,Hotels and similar accommodation activities,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","MAR,HLT,H","BHIA3,HBSA3,RENT3"
5520,Other short term accommodation activities,,,55,Accommodation,552,Other short term accommodation activities,5520,Other short term accommodation activities,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ABNB,BKNG,EXPE","EZTC3,TRIS3,LAVV3"
5530,"Camping grounds, recreational vehicle parks and trailer parks",,,55,Accommodation,553,"Camping grounds, recreational vehicle parks and trailer parks",5530,"Camping grounds, recreational vehicle parks and trailer parks",DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ELS,CWH,SUN","CVCB3,RENT3,MOVI3"
5540,Intermediation service activities for accommodation,,,55,Accommodation,554,Intermediation service activities for accommodation,5540,Intermediation service activities for accommodation,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ABNB,BKNG,EXPE","AZUL4,GOLL4,CVCB3"
5590,Other accommodation n.e.c.,,,55,Accommodation,559,Other accommodation n.e.c.,5590,Other accommodation n.e.c.,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","CHH,ACC,MAR","HAPV3,RDOR3,AALR3"
5610,Restaurants and mobile food service activities,,,56,Food and beverage service activities,561,Restaurants and mobile food service activities,5610,Restaurants and mobile food service activities,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","CMG,DRI,TXRH","ZAMP3,ARZZ3,ALPA4"
5621,Event catering activities,,,56,Food and beverage service activities,562,Event catering and other food service activities,5621,Event catering activities,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ARM,SYY,BTBD","MEAL3,GPSI3,SULA3"
5629,Other food service activities,,,56,Food and beverage service activities,562,Event catering and other food service activities,5629,Other food service activities,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","ARM,SYY,DRI","ZAMP3,MEAL3,BKBR3"
5630,Beverage serving activities,,,56,Food and beverage service activities,563,Beverage serving activities,5630,Beverage serving activities,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","STZ,TAP,SAM","ZAMP3,BKBR3,RAIZ4"
5640,Intermediation service activities for food and beverage services activities,,,56,Food and beverage service activities,564,Intermediation service activities for food and beverage services activities,5640,Intermediation service activities for food and beverage services activities,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","SYY,USFD,CHEF","ZAMP3,IFCM3,BKBR3"
5811,Publishing of books,,,58,Publishing activities,581,"Publishing of books, newspapers, periodicals and other publishing activities",5811,Publishing of books,CCA,DCF / rDCF,Rule of 40,PTA,Real Options,"Technology companies are often valued by market multiples (CCA) and future cash flows (DCF). Rule of 40 and PTA provide growth and profitability insights, with Real Options for innovation potential.","SCHL,NWSA,NYT","COGN3,YDUQ3,LWSA3"
5812,Publishing of newspapers,,,58,Publishing activities,581,"Publishing of books, newspapers, periodicals and other publishing activities",5812,Publishing of newspapers,CCA,DCF / rDCF,Rule of 40,PTA,Real Options,"Technology companies are often valued by market multiples (CCA) and future cash flows (DCF). Rule of 40 and PTA provide growth and profitability insights, with Real Options for innovation potential.","NYT,DJI,GCI","TOTS3,LWSA3,TIMS3"
5813,Publishing of journals and periodicals,,,58,Publishing activities,581,"Publishing of books, newspapers, periodicals and other publishing activities",5813,Publishing of journals and periodicals,CCA,DCF / rDCF,Rule of 40,PTA,Real Options,"Technology companies are often valued by market multiples (CCA) and future cash flows (DCF). Rule of 40 and PTA provide growth and profitability insights, with Real Options for innovation potential.","NYT,DJ,MCO","TOTS3,LWSA3,TIMS3"
5819,Other publishing activities,,,58,Publishing activities,581,"Publishing of books, newspapers, periodicals and other publishing activities",5819,Other publishing activities,CCA,DCF / rDCF,Rule of 40,PTA,Real Options,"Technology companies are often valued by market multiples (CCA) and future cash flows (DCF). Rule of 40 and PTA provide growth and profitability insights, with Real Options for innovation potential.","NYT,SCHL,QNST","TOTS3,LWSA3,CASH3"
5821,Publishing of video games,,,58,Publishing activities,582,Software publishing,5821,Publishing of video games,CCA,DCF / rDCF,Rule of 40,PTA,Real Options,"Technology companies are often valued by market multiples (CCA) and future cash flows (DCF). Rule of 40 and PTA provide growth and profitability insights, with Real Options for innovation potential.","EA,MSFT,TTWO","TOTS3,LWSA3,CASH3"
5829,Other software publishing,,,58,Publishing activities,582,Software publishing,5829,Other software publishing,CCA,DCF / rDCF,Rule of 40,PTA,Real Options,"Technology companies are often valued by market multiples (CCA) and future cash flows (DCF). Rule of 40 and PTA provide growth and profitability insights, with Real Options for innovation potential.","ADBE,ORCL,MSFT","TOTS3,LWSA3,INTB3"
5911,"Motion picture, video and television programme production activities",,,59,"Motion picture, video and television programme production, sound recording and music publishing activities",591,"Motion picture, video and television programme activities",5911,"Motion picture, video and television programme production activities",DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","NFLX,WBD,PARA","NFLX34,DISB34,TIMS3"
5912,"Motion picture, video and television programme post-production activities",,,59,"Motion picture, video and television programme production, sound recording and music publishing activities",591,"Motion picture, video and television programme activities",5912,"Motion picture, video and television programme post-production activities",DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","PTSXQ,EMPM,IMBIQ","VIVT3,TIMS3,TOTS3"
